Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
"1,650,000",Floor,5,4,523 Sq. M.,"Al Rayyan, East Riyadh, Riyadh"
"1,249,000",Floor,6,5,500 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"499,000",Apartment,3,3,154 Sq. M.,"Al Sakb, Madina"
"499,000",Apartment,3,3,154 Sq. M.,"Al Sakb, Madina"
"499,000",Apartment,3,3,154 Sq. M.,"Al Sakb, Madina"
"950,000",Apartment,6,5,220 Sq. M.,"Al Rabwa, North Jeddah, Jeddah"
"560,000",Apartment,4,4,134 Sq. M.,"Al Rabwa, North Jeddah, Jeddah"
"550,000",Apartment,4,3,131 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
"270,000",Apartment,2,3,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"360,000",Apartment,3,4,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"1,149,000",Apartment,3,1,138 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
"580,000",Apartment,5,3,173 Sq. M.,"Al Waha, North Jeddah, Jeddah"
"1,589,000",Apartment,2,2,625 Sq. M.,"Al Aqiq, North Riyadh, Riyadh"
"1,700,000",Floor,3,3,219 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"950,000",Apartment,3,3,134 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
"619,000",Apartment,5,1,151 Sq. M.,"Al Waha, North Jeddah, Jeddah"
"1,150,000",Apartment,5,4,696 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"3,500,000",Villa,6,5,350 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"1,200,000",Floor,5,3,157 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"650,000",Apartment,5,4,175 Sq. M.,"Al Waha, North Jeddah, Jeddah"
"700,000",Apartment,5,3,159 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
"540,000",Apartment,5,3,184 Sq. M.,"Badr, Dammam"
"1,180,000",Villa,7,5,250 Sq. M.,"King Fahd Suburb, Dammam"
"820,000",Villa,7,5,200 Sq. M.,"Al Masif, Safwa Eastern Region"
"840,000",Apartment,3,3,192 Sq. M.,"Al Faisaliyah, Central Jeddah, Jeddah"
"1,130,000",Apartment,6,5,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"700,000",Apartment,4,4,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"840,000",Apartment,3,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"1,550,000",Apartment,6,5,235 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"1,450,000",Apartment,6,4,203 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"850,000",Apartment,3,4,467 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"2,200,000",Apartment,7,7,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"625,000",Apartment,3,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"730,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"900,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"1,700,000",Apartment,5,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"700,000",Apartment,4,3,728 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"1,350,000",Apartment,5,4,194 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"840,000",Apartment,3,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"585,000",Apartment,2,3,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"625,000",Apartment,3,3,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"550,000",Apartment,2,2,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"25,000,000",Villa,6,9,"2,650 Sq. M.","Al Awali, Makkah"
"1,700,000",Villa,5,7,660 Sq. M.,"Sad Al Ghaba, Madina"
"455,000",Apartment,5,3,184 Sq. M.,"Badr, Dammam"
"390,000",Apartment,4,3,133 Sq. M.,"Al Nur, Dammam"
"650,000",Apartment,5,4,154 Sq. M.,"Al Safa, North Jeddah, Jeddah"
"2,000,000",Villa,6,4,399 Sq. M.,"Al Qutbiah Al Sharqia, Taif"
"615,000",Building,4,3,159 Sq. M.,"Mudhainib, Madina"
"975,000",Apartment,3,3,900 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"450,000",Apartment,1,2,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"585,000",Apartment,2,3,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"795,000",Apartment,4,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"494,000",Apartment,4,4,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"475,000",Apartment,3,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"700,000",Apartment,4,4,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"580,000",Apartment,4,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"550,000",Apartment,2,2,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"475,000",Apartment,4,3,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"494,000",Apartment,4,4,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"700,000",Apartment,4,4,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"475,000",Apartment,3,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"494,000",Apartment,4,4,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"630,000",Apartment,3,2,150 Sq. M.,"Al Hamra, Al Khobar"
"950,000",Floor,4,5,157 Sq. M.,"Badr, South Riyadh, Riyadh"
"1,340,000",Apartment,1,2,102 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
"3,300,000",Villa,5,1,200 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"912,000",Floor,3,3,"9,800 Sq. M.","Al Safa, East Riyadh, Riyadh"
"1,614,000",Floor,2,1,775 Sq. M.,"King Fahd, North Riyadh, Riyadh"
"1,589,000",Floor,2,1,618 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
"1,335,000",Villa,5,6,250 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
"2,100,000",Villa,5,6,287 Sq. M.,"Qurtoba, Al Khobar"
"420,000",Apartment,3,3,104 Sq. M.,"Al Rabwa, North Jeddah, Jeddah"
"900,000",Floor,3,5,510 Sq. M.,"Al Qafilah, Khamis Mushait"
"600,000",Apartment,4,2,94 Sq. M.,"Al Safa, North Jeddah, Jeddah"
"620,000",Apartment,3,4,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"2,100,000",Apartment,10,10,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"2,200,000",Apartment,7,8,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"625,000",Apartment,3,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"950,000",Apartment,4,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"900,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"585,000",Apartment,2,3,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"795,000",Apartment,4,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"620,000",Apartment,3,4,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"600,000",Apartment,3,3,728 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"2,050,000",Villa,3,1,220 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"1,835,000",Apartment,3,1,"3,231 Sq. M.","Al Yasmin, North Riyadh, Riyadh"
"799,000",Apartment,3,3,"1,450 Sq. M.","Al Rimal, East Riyadh, Riyadh"
"669,000",Apartment,3,3,"16,975 Sq. M.","Umm Hablain Al Gharbia, Jeddah"
"500,000",Apartment,4,3,119 Sq. M.,"Al Waha, North Jeddah, Jeddah"
"1,004,500",Floor,4,2,185 Sq. M.,"Al Rawabi, East Riyadh, Riyadh"
"1,550,000",Villa,5,5,297 Sq. M.,"Al Bayan Neighborhood, East Riyadh, Riyadh"
"1,500,000",Villa,8,6,437 Sq. M.,"Al Sheraa, Al Khobar"
"4,000,000",Villa,11,5,999 Sq. M.,"Al Faisaliyah, Dammam"
"960,000",Apartment,3,4,199 Sq. M.,"Hajr, Dammam"
"1,650,000",Villa,7,4,900 Sq. M.,"Al Jamiiyyin, Al Majmaah Riyadh Region"
"1,250,000",Floor,7,4,625 Sq. M.,"Al Noor District, Khamis Mushait"
"1,100,000",Apartment,3,3,152 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
"7,500,000",Residential Building,5,3,705 Sq. M.,"Al Nuzhah, Makkah"
"930,000",Apartment,5,4,189 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"1,250,000",Apartment,8,8,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"1,130,000",Apartment,6,5,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"770,000",Apartment,4,3,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"480,000",Apartment,2,3,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"625,000",Apartment,2,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"550,000",Apartment,2,2,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"730,000",Apartment,2,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"900,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"450,000",Apartment,1,2,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"585,000",Apartment,2,3,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"5,200,000",Villa,5,5,375 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"2,750,000",Villa,7,6,320 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"1,896,250",Floor,3,5,185 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
"520,000",Apartment,3,2,550 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"1,500,000",Rest House,4,3,895 Sq. M.,"Al Ghadir, Jeddah"
"370,000",Apartment,4,3,149 Sq. M.,"Al Sahab, Al-wadeen 3"
"3,100,000",Villa,4,5,250 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"900,000",Apartment,3,4,192 Sq. M.,"Al Hamra, Al Khobar"
"1,350,000",Apartment,3,3,147 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"980,000",Floor,3,3,168 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"2,700,000",Villa,10,4,462 Sq. M.,"Al Bawadi, North Jeddah, Jeddah"
"2,710,784",Rest House,4,2,847 Sq. M.,"Shadhah, Madina"
"950,000",Apartment,5,1,143 Sq. M.,"Hajr, Dammam"
"985,000",Apartment,6,4,218 Sq. M.,"Al Rabwa, North Jeddah, Jeddah"
"1,150,000",Apartment,5,4,696 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"660,000",Apartment,2,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"620,000",Apartment,3,4,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"1,700,000",Apartment,5,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"800,000",Apartment,4,4,696 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"730,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"1,150,000",Apartment,5,4,696 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"950,000",Apartment,4,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"729,000",Apartment,4,4,206 Sq. M.,"Mudhainib, Madina"
"4,200,000",Villa,8,7,329 Sq. M.,"Al Arid, North Riyadh, Riyadh"
"990,000",Apartment,5,3,194 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
"1,900,000",Villa,5,5,270 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
"1,200,000",Villa,10,7,330 Sq. M.,"Al Tahliyah, Al Khobar"
"900,000",Rest House,2,2,405 Sq. M.,"Badr, South Riyadh, Riyadh"
"5,000,000",Rest House,4,4,"1,420 Sq. M.","Half Moon Beach, Dammam"
"1,000,000",Floor,4,4,166 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"800,000",Floor,3,3,166 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"660,000",Apartment,3,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"625,000",Apartment,3,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"730,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"450,000",Apartment,1,2,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"950,000",Apartment,4,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"600,000",Apartment,3,3,728 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"770,000",Apartment,4,3,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"494,000",Apartment,4,4,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"1,332,500",Floor,3,4,146 Sq. M.,"Al Izdihar, East Riyadh, Riyadh"
"2,000,000",Floor,3,3,151 Sq. M.,"Al Olaya, North Riyadh, Riyadh"
"1,800,000",Apartment,4,4,156 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
"6,300,000",Residential Building,11,11,500 Sq. M.,"Al Naim, North Jeddah, Jeddah"
"600,000",Apartment,3,3,728 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"650,000",Apartment,3,3,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"625,000",Apartment,3,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"900,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"795,000",Apartment,2,3,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"3,700,000",Villa,5,4,420 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
"2,150,000",Villa,5,6,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
"865,000",Apartment,4,3,130 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
"570,000",Apartment,5,4,211 Sq. M.,"Al Sakb, Madina"
"1,250,000",Floor,5,4,400 Sq. M.,"Al Ranuna, Madina"
"3,200,000",Villa,4,7,400 Sq. M.,"Al Sawari, North Jeddah, Jeddah"
"1,700,000",Apartment,5,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"620,000",Apartment,3,4,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"2,100,000",Apartment,8,10,"2,400 Sq. M.","Al Rawdah, North Jeddah, Jeddah"
"475,000",Apartment,3,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"580,000",Apartment,4,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"1,130,000",Apartment,6,5,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"1,550,000",Apartment,6,5,235 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"700,000",Apartment,4,3,728 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"550,000",Apartment,2,3,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"795,000",Apartment,4,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"625,000",Apartment,3,3,696 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"1,500,000",Rest House,10,7,"3,000 Sq. M.",Qarih Dirab
"600,000",Apartment,5,3,186 Sq. M.,"King Fahd, Makkah"
"525,000",Apartment,4,2,128 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
"795,000",Apartment,4,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"900,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"2,200,000",Apartment,7,8,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"670,000",Apartment,5,4,164 Sq. M.,"Al Safa, North Jeddah, Jeddah"
"650,000",Apartment,4,3,517 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
"730,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"580,000",Apartment,4,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"360,000",Apartment,3,4,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"240,000",Apartment,1,1,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"795,000",Apartment,4,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"1,550,000",Apartment,6,5,235 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
"550,000",Apartment,2,2,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"795,000",Apartment,4,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"240,000",Apartment,1,1,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"360,000",Apartment,3,4,"3,200 Sq. M.","Al Faisaliyah, Central Jeddah, Jeddah"
"580,000",Apartment,4,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"730,000",Apartment,4,4,763 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
"660,000",Apartment,3,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"660,000",Apartment,3,4,"2,000 Sq. M.","Al Nahdah, North Jeddah, Jeddah"
"580,000",Apartment,4,4,660 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
"499,000",Apartment,3,4,154 Sq. M.,"Al Sakb, Madina"
"1,560,000",Villa,2,6,270 Sq. M.,"Al Khuzama, Al Khobar"
"465,000",Apartment,3,1,118 Sq. M.,"Dirab, West Riyadh, Riyadh"
"520,000",Apartment,4,2,128 Sq. M.,"Al Waha, North Jeddah, Jeddah"
"499,000",Apartment,3,4,154 Sq. M.,"Al Sakb, Madina"
"590,000",Apartment,3,4,154 Sq. M.,"Al Sakb, Madina"
"2,300,000",Villa,4,6,327 Sq. M.,"Al Saadah, East Riyadh, Riyadh"
"350,000",Apartment,3,2,999 Sq. M.,"Al Safa, North Jeddah, Jeddah"
"579,000",Apartment,4,4,254 Sq. M.,"Al Jassah, Madina"
"729,000",Apartment,3,4,206 Sq. M.,"Mudhainib, Madina"
"770,000",Apartment,4,3,600 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
