Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
1249000,Floor,6,5,500,"Al Khaleej, East Riyadh, Riyadh"
499000,Apartment,3,3,154,"Al Sakb, Madina"
499000,Apartment,3,3,154,"Al Sakb, Madina"
499000,Apartment,3,3,154,"Al Sakb, Madina"
950000,Apartment,6,5,220,"Al Rabwa, North Jeddah, Jeddah"
560000,Apartment,4,4,134,"Al Rabwa, North Jeddah, Jeddah"
550000,Apartment,4,3,131,"Al Marwah, North Jeddah, Jeddah"
270000,Apartment,2,3,3200,"Al Faisaliyah, Central Jeddah, Jeddah"
360000,Apartment,3,4,3200,"Al Faisaliyah, Central Jeddah, Jeddah"
1149000,Apartment,3,1,138,"Qurtubah, East Riyadh, Riyadh"
580000,Apartment,5,3,173,"Al Waha, North Jeddah, Jeddah"
1589000,Apartment,2,2,625,"Al Aqiq, North Riyadh, Riyadh"
1700000,Floor,3,3,219,"Al Yasmin, North Riyadh, Riyadh"
950000,Apartment,3,3,134,"Al Munsiyah, East Riyadh, Riyadh"
619000,Apartment,5,1,151,"Al Waha, North Jeddah, Jeddah"
1150000,Apartment,5,4,696,"Al Nahdah, North Jeddah, Jeddah"
3500000,Villa,6,5,350,"Al Yasmin, North Riyadh, Riyadh"
1200000,Floor,5,3,157,"Al Rimal, East Riyadh, Riyadh"
650000,Apartment,5,4,175,"Al Waha, North Jeddah, Jeddah"
700000,Apartment,5,3,159,"Al Fayhaa, North Jeddah, Jeddah"
540000,Apartment,5,3,184,"Badr, Dammam"
1180000,Villa,7,5,250,"King Fahd Suburb, Dammam"
840000,Apartment,3,3,192,"Al Faisaliyah, Central Jeddah, Jeddah"
1130000,Apartment,6,5,660,"Al Salamah, North Jeddah, Jeddah"
700000,Apartment,4,4,2400,"Al Rawdah, North Jeddah, Jeddah"
840000,Apartment,3,3,127,"Al Zahraa, North Jeddah, Jeddah"
1550000,Apartment,6,5,235,"Al Zahraa, North Jeddah, Jeddah"
1450000,Apartment,6,4,203,"Al Zahraa, North Jeddah, Jeddah"
850000,Apartment,3,4,467,"Al Zahraa, North Jeddah, Jeddah"
2200000,Apartment,7,7,600,"Al Nahdah, North Jeddah, Jeddah"
625000,Apartment,3,4,763,"Al Nahdah, North Jeddah, Jeddah"
730000,Apartment,4,4,763,"Al Nahdah, North Jeddah, Jeddah"
900000,Apartment,4,4,763,"Al Nahdah, North Jeddah, Jeddah"
1700000,Apartment,5,4,2000,"Al Nahdah, North Jeddah, Jeddah"
700000,Apartment,4,3,728,"Al Zahraa, North Jeddah, Jeddah"
1350000,Apartment,5,4,194,"Al Zahraa, North Jeddah, Jeddah"
840000,Apartment,3,3,127,"Al Zahraa, North Jeddah, Jeddah"
585000,Apartment,2,3,2000,"Al Nahdah, North Jeddah, Jeddah"
625000,Apartment,3,3,763,"Al Nahdah, North Jeddah, Jeddah"
550000,Apartment,2,2,600,"Al Nahdah, North Jeddah, Jeddah"
455000,Apartment,5,3,184,"Badr, Dammam"
390000,Apartment,4,3,133,"Al Nur, Dammam"
650000,Apartment,5,4,154,"Al Safa, North Jeddah, Jeddah"
615000,Building,4,3,159,"Mudhainib, Madina"
975000,Apartment,3,3,900,"Al Arid, North Riyadh, Riyadh"
450000,Apartment,1,2,2000,"Al Nahdah, North Jeddah, Jeddah"
585000,Apartment,2,3,2000,"Al Nahdah, North Jeddah, Jeddah"
795000,Apartment,4,4,2000,"Al Nahdah, North Jeddah, Jeddah"
494000,Apartment,4,4,3200,"Al Faisaliyah, Central Jeddah, Jeddah"
475000,Apartment,3,4,660,"Al Salamah, North Jeddah, Jeddah"
700000,Apartment,4,4,2400,"Al Rawdah, North Jeddah, Jeddah"
580000,Apartment,4,4,660,"Al Salamah, North Jeddah, Jeddah"
550000,Apartment,2,2,600,"Al Nahdah, North Jeddah, Jeddah"
475000,Apartment,4,3,660,"Al Salamah, North Jeddah, Jeddah"
494000,Apartment,4,4,3200,"Al Faisaliyah, Central Jeddah, Jeddah"
700000,Apartment,4,4,2400,"Al Rawdah, North Jeddah, Jeddah"
475000,Apartment,3,4,660,"Al Salamah, North Jeddah, Jeddah"
494000,Apartment,4,4,3200,"Al Faisaliyah, Central Jeddah, Jeddah"
630000,Apartment,3,2,150,"Al Hamra, Al Khobar"
950000,Floor,4,5,157,"Badr, South Riyadh, Riyadh"
1340000,Apartment,1,2,102,"Al Malqa, North Riyadh, Riyadh"
3300000,Villa,5,1,200,"Al Arid, North Riyadh, Riyadh"
912000,Floor,3,3,9800,"Al Safa, East Riyadh, Riyadh"
1614000,Floor,2,1,775,"King Fahd, North Riyadh, Riyadh"
1589000,Floor,2,1,618,"Al Malqa, North Riyadh, Riyadh"
1335000,Villa,5,6,250,"Tuwaiq, West Riyadh, Riyadh"
420000,Apartment,3,3,104,"Al Rabwa, North Jeddah, Jeddah"
600000,Apartment,4,2,94,"Al Safa, North Jeddah, Jeddah"
620000,Apartment,3,4,2400,"Al Rawdah, North Jeddah, Jeddah"
2100000,Apartment,10,10,2400,"Al Rawdah, North Jeddah, Jeddah"
2200000,Apartment,7,8,600,"Al Nahdah, North Jeddah, Jeddah"
625000,Apartment,3,4,763,"Al Nahdah, North Jeddah, Jeddah"
950000,Apartment,4,3,127,"Al Zahraa, North Jeddah, Jeddah"
900000,Apartment,4,4,763,"Al Nahdah, North Jeddah, Jeddah"
585000,Apartment,2,3,2000,"Al Nahdah, North Jeddah, Jeddah"
795000,Apartment,4,4,2000,"Al Nahdah, North Jeddah, Jeddah"
620000,Apartment,3,4,2400,"Al Rawdah, North Jeddah, Jeddah"
600000,Apartment,3,3,728,"Al Zahraa, North Jeddah, Jeddah"
2050000,Villa,3,1,220,"Al Rimal, East Riyadh, Riyadh"
1835000,Apartment,3,1,3231,"Al Yasmin, North Riyadh, Riyadh"
799000,Apartment,3,3,1450,"Al Rimal, East Riyadh, Riyadh"
669000,Apartment,3,3,16975,"Umm Hablain Al Gharbia, Jeddah"
500000,Apartment,4,3,119,"Al Waha, North Jeddah, Jeddah"
1004500,Floor,4,2,185,"Al Rawabi, East Riyadh, Riyadh"
1550000,Villa,5,5,297,"Al Bayan Neighborhood, East Riyadh, Riyadh"
1500000,Villa,8,6,437,"Al Sheraa, Al Khobar"
1250000,Floor,7,4,625,"Al Noor District, Khamis Mushait"
1100000,Apartment,3,3,152,"Al Fayhaa, North Jeddah, Jeddah"
930000,Apartment,5,4,189,"Al Zahraa, North Jeddah, Jeddah"
1250000,Apartment,8,8,3200,"Al Faisaliyah, Central Jeddah, Jeddah"
1130000,Apartment,6,5,660,"Al Salamah, North Jeddah, Jeddah"
770000,Apartment,4,3,600,"Al Nahdah, North Jeddah, Jeddah"
480000,Apartment,2,3,2400,"Al Rawdah, North Jeddah, Jeddah"
625000,Apartment,2,4,763,"Al Nahdah, North Jeddah, Jeddah"
550000,Apartment,2,2,600,"Al Nahdah, North Jeddah, Jeddah"
730000,Apartment,2,4,763,"Al Nahdah, North Jeddah, Jeddah"
900000,Apartment,4,4,763,"Al Nahdah, North Jeddah, Jeddah"
450000,Apartment,1,2,2000,"Al Nahdah, North Jeddah, Jeddah"
585000,Apartment,2,3,2000,"Al Nahdah, North Jeddah, Jeddah"
5200000,Villa,5,5,375,"Al Yasmin, North Riyadh, Riyadh"
2750000,Villa,7,6,320,"Al Mahdiyah, West Riyadh, Riyadh"
1896250,Floor,3,5,185,"Al Yasmin, North Riyadh, Riyadh"
520000,Apartment,3,2,550,"Al Salamah, North Jeddah, Jeddah"
3100000,Villa,4,5,250,"Al Narjis, North Riyadh, Riyadh"
900000,Apartment,3,4,192,"Al Hamra, Al Khobar"
1350000,Apartment,3,3,147,"Al Narjis, North Riyadh, Riyadh"
980000,Floor,3,3,168,"Al Rimal, East Riyadh, Riyadh"
2700000,Villa,10,4,462,"Al Bawadi, North Jeddah, Jeddah"
2710784,Rest House,4,2,847,"Shadhah, Madina"
985000,Apartment,6,4,218,"Al Rabwa, North Jeddah, Jeddah"
1150000,Apartment,5,4,696,"Al Nahdah, North Jeddah, Jeddah"
660000,Apartment,2,4,2000,"Al Nahdah, North Jeddah, Jeddah"
620000,Apartment,3,4,2400,"Al Rawdah, North Jeddah, Jeddah"
1700000,Apartment,5,4,2000,"Al Nahdah, North Jeddah, Jeddah"
800000,Apartment,4,4,696,"Al Nahdah, North Jeddah, Jeddah"
730000,Apartment,4,4,763,"Al Nahdah, North Jeddah, Jeddah"
1150000,Apartment,5,4,696,"Al Nahdah, North Jeddah, Jeddah"
950000,Apartment,4,3,127,"Al Zahraa, North Jeddah, Jeddah"
729000,Apartment,4,4,206,"Mudhainib, Madina"
4200000,Villa,8,7,329,"Al Arid, North Riyadh, Riyadh"
990000,Apartment,5,3,194,"Al Khaleej, East Riyadh, Riyadh"
1900000,Villa,5,5,270,"Al Murjan, East Riyadh, Riyadh"
900000,Rest House,2,2,405,"Badr, South Riyadh, Riyadh"
1000000,Floor,4,4,166,"Al Rimal, East Riyadh, Riyadh"
800000,Floor,3,3,166,"Al Rimal, East Riyadh, Riyadh"
660000,Apartment,3,4,2000,"Al Nahdah, North Jeddah, Jeddah"
625000,Apartment,3,4,763,"Al Nahdah, North Jeddah, Jeddah"
730000,Apartment,4,4,763,"Al Nahdah, North Jeddah, Jeddah"
450000,Apartment,1,2,2000,"Al Nahdah, North Jeddah, Jeddah"
950000,Apartment,4,3,127,"Al Zahraa, North Jeddah, Jeddah"
600000,Apartment,3,3,728,"Al Zahraa, North Jeddah, Jeddah"
770000,Apartment,4,3,600,"Al Nahdah, North Jeddah, Jeddah"
494000,Apartment,4,4,3200,"Al Faisaliyah, Central Jeddah, Jeddah"
2000000,Floor,3,3,151,"Al Olaya, North Riyadh, Riyadh"
1800000,Apartment,4,4,156,"Al Narjis, North Riyadh, Riyadh"
6300000,Residential Building,11,11,500,"Al Naim, North Jeddah, Jeddah"
600000,Apartment,3,3,728,"Al Zahraa, North Jeddah, Jeddah"
650000,Apartment,3,3,600,"Al Nahdah, North Jeddah, Jeddah"
625000,Apartment,3,4,763,"Al Nahdah, North Jeddah, Jeddah"
900000,Apartment,4,4,763,"Al Nahdah, North Jeddah, Jeddah"
795000,Apartment,2,3,2000,"Al Nahdah, North Jeddah, Jeddah"
