Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
1650000,FLOOR,5,4,523,OTHER
1249000,FLOOR,6,5,500,OTHER
499000,APARTMENT,3,3,154,OTHER
950000,APARTMENT,6,5,220,OTHER
560000,APARTMENT,4,4,134,OTHER
550000,APARTMENT,4,3,131,OTHER
270000,APARTMENT,2,3,3200,OTHER
360000,APARTMENT,3,4,3200,OTHER
1149000,APARTMENT,3,1,138,"QURTUBAH, EAST RIYADH, RIYADH"
580000,APARTMENT,5,3,173,OTHER
1589000,APARTMENT,2,2,625,OTHER
1700000,FLOOR,3,3,219,OTHER
950000,APARTMENT,3,3,134,"AL MUNSIYAH, EAST RIYADH, RIYADH"
619000,APARTMENT,5,1,151,OTHER
1150000,APARTMENT,5,4,696,OTHER
3500000,VILLA,6,5,350,OTHER
1200000,FLOOR,5,3,157,"AL RIMAL, EAST RIYADH, RIYADH"
650000,APARTMENT,5,4,175,OTHER
700000,APARTMENT,5,3,159,OTHER
540000,APARTMENT,5,3,184,OTHER
1180000,VILLA,7,5,250,OTHER
820000,VILLA,7,5,200,OTHER
840000,APARTMENT,3,3,192,OTHER
1130000,APARTMENT,6,5,660,"AL SALAMAH, NORTH JEDDAH, JEDDAH"
700000,APARTMENT,4,4,2400,"AL RAWDAH, NORTH JEDDAH, JEDDAH"
840000,APARTMENT,3,3,127,OTHER
1550000,APARTMENT,6,5,235,OTHER
1450000,APARTMENT,6,4,203,OTHER
850000,APARTMENT,3,4,467,OTHER
2200000,APARTMENT,7,7,600,OTHER
625000,APARTMENT,3,4,763,OTHER
730000,APARTMENT,4,4,763,OTHER
900000,APARTMENT,4,4,763,OTHER
1700000,APARTMENT,5,4,2000,OTHER
700000,APARTMENT,4,3,728,OTHER
1350000,APARTMENT,5,4,194,OTHER
585000,APARTMENT,2,3,2000,OTHER
625000,APARTMENT,3,3,763,OTHER
550000,APARTMENT,2,2,600,OTHER
25000000,VILLA,6,9,2650,OTHER
1700000,VILLA,5,7,660,OTHER
455000,APARTMENT,5,3,184,OTHER
390000,APARTMENT,4,3,133,OTHER
650000,APARTMENT,5,4,154,OTHER
2000000,VILLA,6,4,399,OTHER
975000,APARTMENT,3,3,900,"AL ARID, NORTH RIYADH, RIYADH"
450000,APARTMENT,1,2,2000,OTHER
795000,APARTMENT,4,4,2000,OTHER
494000,APARTMENT,4,4,3200,OTHER
475000,APARTMENT,3,4,660,"AL SALAMAH, NORTH JEDDAH, JEDDAH"
580000,APARTMENT,4,4,660,"AL SALAMAH, NORTH JEDDAH, JEDDAH"
475000,APARTMENT,4,3,660,"AL SALAMAH, NORTH JEDDAH, JEDDAH"
630000,APARTMENT,3,2,150,OTHER
950000,FLOOR,4,5,157,"BADR, SOUTH RIYADH, RIYADH"
1340000,APARTMENT,1,2,102,OTHER
3300000,VILLA,5,1,200,"AL ARID, NORTH RIYADH, RIYADH"
912000,FLOOR,3,3,9800,OTHER
1614000,FLOOR,2,1,775,OTHER
1589000,FLOOR,2,1,618,OTHER
1335000,VILLA,5,6,250,"TUWAIQ, WEST RIYADH, RIYADH"
2100000,VILLA,5,6,287,OTHER
420000,APARTMENT,3,3,104,OTHER
900000,FLOOR,3,5,510,OTHER
600000,APARTMENT,4,2,94,OTHER
620000,APARTMENT,3,4,2400,"AL RAWDAH, NORTH JEDDAH, JEDDAH"
2100000,APARTMENT,10,10,2400,"AL RAWDAH, NORTH JEDDAH, JEDDAH"
2200000,APARTMENT,7,8,600,OTHER
950000,APARTMENT,4,3,127,OTHER
600000,APARTMENT,3,3,728,OTHER
2050000,VILLA,3,1,220,"AL RIMAL, EAST RIYADH, RIYADH"
1835000,APARTMENT,3,1,3231,OTHER
799000,APARTMENT,3,3,1450,"AL RIMAL, EAST RIYADH, RIYADH"
669000,APARTMENT,3,3,16975,OTHER
500000,APARTMENT,4,3,119,OTHER
1004500,FLOOR,4,2,185,OTHER
1550000,VILLA,5,5,297,OTHER
1500000,VILLA,8,6,437,OTHER
4000000,VILLA,11,5,999,OTHER
960000,APARTMENT,3,4,199,OTHER
1650000,VILLA,7,4,900,OTHER
1250000,FLOOR,7,4,625,OTHER
1100000,APARTMENT,3,3,152,OTHER
930000,APARTMENT,5,4,189,OTHER
1250000,APARTMENT,8,8,3200,OTHER
770000,APARTMENT,4,3,600,OTHER
480000,APARTMENT,2,3,2400,"AL RAWDAH, NORTH JEDDAH, JEDDAH"
625000,APARTMENT,2,4,763,OTHER
730000,APARTMENT,2,4,763,OTHER
5200000,VILLA,5,5,375,OTHER
2750000,VILLA,7,6,320,"AL MAHDIYAH, WEST RIYADH, RIYADH"
1896250,FLOOR,3,5,185,OTHER
520000,APARTMENT,3,2,550,"AL SALAMAH, NORTH JEDDAH, JEDDAH"
1500000,REST HOUSE,4,3,895,OTHER
370000,APARTMENT,4,3,149,OTHER
3100000,VILLA,4,5,250,"AL NARJIS, NORTH RIYADH, RIYADH"
900000,APARTMENT,3,4,192,OTHER
1350000,APARTMENT,3,3,147,"AL NARJIS, NORTH RIYADH, RIYADH"
980000,FLOOR,3,3,168,"AL RIMAL, EAST RIYADH, RIYADH"
2700000,VILLA,10,4,462,OTHER
2710784,REST HOUSE,4,2,847,OTHER
950000,APARTMENT,5,1,143,OTHER
985000,APARTMENT,6,4,218,OTHER
660000,APARTMENT,2,4,2000,OTHER
800000,APARTMENT,4,4,696,OTHER
729000,APARTMENT,4,4,206,OTHER
4200000,VILLA,8,7,329,"AL ARID, NORTH RIYADH, RIYADH"
990000,APARTMENT,5,3,194,OTHER
1900000,VILLA,5,5,270,OTHER
1200000,VILLA,10,7,330,OTHER
900000,REST HOUSE,2,2,405,"BADR, SOUTH RIYADH, RIYADH"
5000000,REST HOUSE,4,4,1420,OTHER
1000000,FLOOR,4,4,166,"AL RIMAL, EAST RIYADH, RIYADH"
800000,FLOOR,3,3,166,"AL RIMAL, EAST RIYADH, RIYADH"
660000,APARTMENT,3,4,2000,OTHER
1332500,FLOOR,3,4,146,OTHER
2000000,FLOOR,3,3,151,OTHER
1800000,APARTMENT,4,4,156,"AL NARJIS, NORTH RIYADH, RIYADH"
650000,APARTMENT,3,3,600,OTHER
795000,APARTMENT,2,3,2000,OTHER
3700000,VILLA,5,4,420,"AL MAHDIYAH, WEST RIYADH, RIYADH"
2150000,VILLA,5,6,225,"AL RIMAL, EAST RIYADH, RIYADH"
865000,APARTMENT,4,3,130,OTHER
570000,APARTMENT,5,4,211,OTHER
1250000,FLOOR,5,4,400,OTHER
3200000,VILLA,4,7,400,OTHER
2100000,APARTMENT,8,10,2400,"AL RAWDAH, NORTH JEDDAH, JEDDAH"
550000,APARTMENT,2,3,763,OTHER
625000,APARTMENT,3,3,696,OTHER
1500000,REST HOUSE,10,7,3000,OTHER
600000,APARTMENT,5,3,186,OTHER
525000,APARTMENT,4,2,128,OTHER
670000,APARTMENT,5,4,164,OTHER
650000,APARTMENT,4,3,517,"AL RAWDAH, NORTH JEDDAH, JEDDAH"
240000,APARTMENT,1,1,3200,OTHER
499000,APARTMENT,3,4,154,OTHER
1560000,VILLA,2,6,270,OTHER
465000,APARTMENT,3,1,118,OTHER
520000,APARTMENT,4,2,128,OTHER
590000,APARTMENT,3,4,154,OTHER
2300000,VILLA,4,6,327,OTHER
350000,APARTMENT,3,2,999,OTHER
579000,APARTMENT,4,4,254,OTHER
729000,APARTMENT,3,4,206,OTHER
1200000,APARTMENT,6,6,728,OTHER
579000,APARTMENT,3,4,254,OTHER
799000,APARTMENT,3,3,1980,OTHER
1700000,APARTMENT,4,3,171,OTHER
670000,APARTMENT,5,4,163,OTHER
2220000,VILLA,3,1,930,"AL NARJIS, NORTH RIYADH, RIYADH"
399000,APARTMENT,3,3,550,OTHER
1620000,FLOOR,3,3,136,OTHER
409000,APARTMENT,2,3,973,OTHER
700000,APARTMENT,2,3,2330,OTHER
1200000,APARTMENT,6,6,238,OTHER
800000,APARTMENT,3,4,467,OTHER
400000,APARTMENT,4,2,157,OTHER
2500000,VILLA,8,8,405,"OKAZ, SOUTH RIYADH, RIYADH"
440000,APARTMENT,3,3,131,"BADR, SOUTH RIYADH, RIYADH"
