Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
6000000,VILLA,7,7,500,OTHER
1650000,APARTMENT,3,4,144,OTHER
2500000,VILLA,7,2,395,OTHER
435000,APARTMENT,3,3,575,OTHER
320000,APARTMENT,3,3,659,OTHER
450000,APARTMENT,3,2,102,"AL MARWAH, JEDDAH, MAKKAH AL MUKARRAMAH"
540000,APARTMENT,4,3,131,"AL MARWAH, JEDDAH, MAKKAH AL MUKARRAMAH"
720000,APARTMENT,4,3,117,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
650000,APARTMENT,4,3,111,"AS SALAMAH, JEDDAH, MAKKAH AL MUKARRAMAH"
800000,APARTMENT,4,3,139,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
780000,APARTMENT,4,3,124,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
762603,APARTMENT,4,3,159,OTHER
617500,APARTMENT,4,3,118,OTHER
644385,APARTMENT,4,3,133,OTHER
990000,APARTMENT,4,3,163,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
700000,APARTMENT,4,3,112,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
27000000,VILLA,7,7,2640,OTHER
680000,APARTMENT,5,3,161,"AL MARWAH, JEDDAH, MAKKAH AL MUKARRAMAH"
1425000,APARTMENT,3,3,78,OTHER
1599000,APARTMENT,4,2,132,OTHER
2299000,VILLA,4,4,197,OTHER
560000,APARTMENT,4,4,137,"AS SALAMAH, JEDDAH, MAKKAH AL MUKARRAMAH"
439000,APARTMENT,2,2,524,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
1150000,FULL FLOOR,5,5,230,OTHER
1200000,APARTMENT,4,3,153,"AL MUNISIYAH, RIYADH, AR RIYADH"
1600000,FULL FLOOR,3,5,223,"AL MUNISIYAH, RIYADH, AR RIYADH"
1250000,VILLA,5,7,289,"AR RIMAL, RIYADH, AR RIYADH"
1350000,VILLA,5,7,303,"AR RIMAL, RIYADH, AR RIYADH"
820000,FULL FLOOR,5,5,160,"AL JANADRIYAH, RIYADH, AR RIYADH"
1350000,FULL FLOOR,5,5,251,OTHER
1180000,APARTMENT,4,3,148,"AL MUNISIYAH, RIYADH, AR RIYADH"
720000,APARTMENT,4,3,101,OTHER
3000000,VILLA,5,6,338,"AR RIMAL, RIYADH, AR RIYADH"
3100000,VILLA,5,6,312,"AR RIMAL, RIYADH, AR RIYADH"
1130000,APARTMENT,5,3,142,"AL MUNISIYAH, RIYADH, AR RIYADH"
519000,APARTMENT,4,3,130,OTHER
560000,APARTMENT,5,4,162,"AS SAFA, JEDDAH, MAKKAH AL MUKARRAMAH"
950000,APARTMENT,4,3,160,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
520000,APARTMENT,5,4,180,OTHER
3900000,VILLA,5,7,264,OTHER
385000,APARTMENT,3,3,108,OTHER
2400000,VILLA,4,5,240,OTHER
549000,APARTMENT,3,2,524,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
710000,APARTMENT,4,3,114,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
770000,APARTMENT,4,3,127,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
900000,APARTMENT,6,3,188,OTHER
800000,APARTMENT,4,3,137,"AR RAWDAH, JEDDAH, MAKKAH AL MUKARRAMAH"
830000,APARTMENT,4,3,140,"AS SALAMAH, JEDDAH, MAKKAH AL MUKARRAMAH"
2600000,VILLA,6,7,312,OTHER
630000,APARTMENT,5,3,152,OTHER
530000,APARTMENT,4,3,135,OTHER
1850000,VILLA,5,5,292,"AR RIMAL, RIYADH, AR RIYADH"
450000,APARTMENT,5,3,550,OTHER
299000,APARTMENT,2,2,616,OTHER
4200000,VILLA,6,6,371,"AL MUNISIYAH, RIYADH, AR RIYADH"
1101000,APARTMENT,4,4,146,"AL MUNISIYAH, RIYADH, AR RIYADH"
