Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
"5,000,000 SAR",Rest House,4,4,"1,420 sqm","شاطئ نصف القمر, Ad Dammam, Eastern"
"6,000,000 SAR",Villa,7+,7+,500 sqm,"Al Wadi, Riyadh, Ar Riyadh"
"1,650,000 SAR",Apartment,3,4,144 sqm,"An Narjis, Riyadh, Ar Riyadh"
"2,400,000 SAR",Whole Building,7+,7+,423 sqm,"Al Faisaliyah, Jeddah, Makkah Al Mukarramah"
"2,500,000 SAR",Villa,7+,2,395 sqm,"Al Muhammadiyah, Jeddah, Makkah Al Mukarramah"
"435,000 SAR",Apartment,3,3,575 sqm,"An Naim, Jeddah, Makkah Al Mukarramah"
"320,000 SAR",Apartment,3,3,659 sqm,"Mraykh, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"540,000 SAR",Apartment,4,3,131 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"720,000 SAR",Apartment,4,3,117 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"650,000 SAR",Apartment,4,3,111 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"800,000 SAR",Apartment,4,3,139 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"650,000 SAR",Apartment,4,3,111 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"780,000 SAR",Apartment,4,3,124 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"762,603 SAR",Apartment,4,3,159 sqm,"East Naseem, Riyadh, Ar Riyadh"
"617,500 SAR",Apartment,4,3,118 sqm,"East Naseem, Riyadh, Ar Riyadh"
"644,385 SAR",Apartment,4,3,133 sqm,"East Naseem, Riyadh, Ar Riyadh"
"990,000 SAR",Apartment,4,3,163 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"700,000 SAR",Apartment,4,3,112 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"27,000,000 SAR",Villa,7+,7+,"2,640 sqm","Abhur Al Janubiyah, Jeddah, Makkah Al Mukarramah"
"680,000 SAR",Apartment,5,3,161 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"1,425,000 SAR",Apartment,3,3,78 sqm,"Al Malqa, Riyadh, Ar Riyadh"
"1,599,000 SAR",Apartment,4,2,132 sqm,"Al Malqa, Riyadh, Ar Riyadh"
"2,299,000 SAR",Villa,4,4,197 sqm,"Al Malqa, Riyadh, Ar Riyadh"
"560,000 SAR",Apartment,4,4,137 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"5,000,000 SAR",Rest House,4,4,"1,420 sqm","شاطئ نصف القمر, Ad Dammam, Eastern"
"439,000 SAR",Apartment,2,2,524 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"1,150,000 SAR",Full Floor,5,5,230 sqm,"Al Khalij, Riyadh, Ar Riyadh"
"1,200,000 SAR",Apartment,4,3,153 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,600,000 SAR",Full Floor,3,5,223 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"1,250,000 SAR",Villa,5,7,289 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"1,350,000 SAR",Villa,5,7,303 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"820,000 SAR",Full Floor,5,5,160 sqm,"Al Janadriyah, Riyadh, Ar Riyadh"
"1,350,000 SAR",Full Floor,5,5,251 sqm,"Al Khalij, Riyadh, Ar Riyadh"
"1,180,000 SAR",Apartment,4,3,148 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"720,000 SAR",Apartment,4,3,101 sqm,"Al Maizialah, Riyadh, Ar Riyadh"
"3,000,000 SAR",Villa,5,6,338 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"3,100,000 SAR",Villa,5,6,312 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"1,130,000 SAR",Apartment,5,3,142 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"519,000 SAR",Apartment,4,3,130 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"560,000 SAR",Apartment,5,4,162 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"780,000 SAR",Apartment,4,3,124 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
